"username","created_at","comment_text"
"elaheaurora","2018-09-21 19:29:04","I recommend Dr @jordan.b.peterson from University of Toronto. Haven't had the opportunity to meet him since I live far away, but I watch his YouTube lectures, and have learned a lot from him. He's very logical and very caring actually."
"tiffanychinapen","2018-09-21 19:30:35","Tiffany Chinapen. Art Psychotherapist. Also based in Edinburgh, UK."
"ellienaw","2018-09-21 19:49:33","@elaheaurora I would not recommend this man to anyone, but especially not gender non-conforming people or women as he seems to hold a lot of hostility towards those groups"
"m.rovinski","2018-09-21 19:54:37","@daniellelrov"
"theartidote","2018-09-21 21:13:31","@mariaa_arshad Lahore has been on my list, just give me time :) ❤️"
"amollt","2018-09-22 00:30:02","@purplerainnutrition"
"ashwin_vjkumar","2018-09-22 02:07:56","@prathi_30 please do the needful"
"mariaa_arshad","2018-09-22 02:09:52","@theartidote thank you so much ♥️"
"isaseijas","2018-09-22 02:18:17","@sofycortess"
"katrozario","2018-09-22 02:40:50","Please make a list for KL, Malaysia"
"elaheaurora","2018-09-22 02:59:12","@ellienaw okay, I understand. But it doesn't hurt to hear the man just once, and if someone found that's the case, well she/he can opt for another psychologist in this list here."
"beckbuk","2018-09-22 03:05:09","@theartidote how much will it cost??"
"zehradonmez","2018-09-22 03:09:56","@dorothysiminovitch is a perfect Gestalt based coach. @elifbicersuner is a perfect Gestalt base life coach too"
"cbm_129","2018-09-22 03:14:10","Can you please make a post for Bangalore, India?"
"robyn.cd","2018-09-22 03:15:56","Denise Stapleton at Heart-Centered Therapy"
"notyourusualnightmare","2018-09-22 03:42:04","can you also make a post for Philippines?"
"su_g_q","2018-09-22 03:45:04","I TRUST SKYLARK AT WELLESLEY/EGLINTON!!!!! Such good counseling. Really"
"jackedjewmaican","2018-09-22 05:04:37","Fingers crossed"
"ma.tree","2018-09-22 08:10:16","Hard Feelings is a service that is made affordable for lower income folks. They have a list of therapists from various backgrounds and you can email the ones that are available that you are interested in. I’ve been with someone there and had a great experience! They are quite accessible, just west of Christie Pitts park. 
https://www.hardfeelings.org"
"ma.tree","2018-09-22 08:11:11","The Mindfulness Clinic is also a great option for someone who is interested in something more wholistic and spiritual based."
"larah84","2018-09-22 08:14:55","Can you please recommend one for Dubai, UAE? 🙏"
"maheeratayyab","2018-09-22 10:56:55","@mariaa_arshad if its any help, dr. riaz bhatti is a great psychiatrist and he’s near cavalry ground."
"chelseyroy","2018-09-22 11:17:06","Charity Barfoot at the Centre for Interpersonal Relationships. She is extremely kind and compassionate and has helped a great deal with my anxiety, relationship issues, etc. Couldn’t recommend her more highly."
"mariaa_arshad","2018-09-22 11:44:15","@maheeratayyab Do you know of any good therapist than psychiatrist?"
"rahma.182","2018-09-22 13:01:04","Ayan Mukherjee is a registered psychotherapist specializing in anxiety, low self-esteem, men's mental health issues, PTSD and EDMR therapy. He has no waitlists, and for free consultations, you can contact ayan@ayanrp.com"
"tel_minha_m_f","2018-09-22 14:20:33","@theartidote Some times,we don’t have more time.⌛️"
"maheeratayyab","2018-09-22 18:07:33","@mariaa_arshad dr. tabinda ilyas! she’s a clinical psychologist and sits at national hospital."
"mariaa_arshad","2018-09-22 18:11:03","@maheeratayyab Thank you so much ♥️"
"syaima_aq","2018-09-22 18:24:37","@sairabano7"
"aprilkay_","2018-09-22 21:41:19","Jill Gilbert, located west downtown Toronto"
"intothecue","2018-09-23 03:31:00","Philippines too pls 😪"
"adr1cat","2018-09-23 05:44:28","@shmabby 💜"
"fophyllis","2018-09-23 12:20:21","There’s a really good walk in mental health clinic on Markham and Ellesmere called the “What’s Up Walk In Clinic” that doesn’t require a health card. They’re open 6 days a week and they have another branch on Danforth :)"
"shmabby","2018-09-23 21:37:25","Amazing. Just put together a team that I interviewed and we just opened at The @healing_collective 💚"
"mad_hu01kaushal","2018-09-24 17:28:45","Years of experience helping people @talkheals_by_namrta"
"paniprodavacka","2018-09-26 00:09:34","please do prague"
"iam_aathira","2018-09-26 10:12:43","Kerala, india please?"
"dorothysiminovitch","2018-09-27 23:10:53","Thanks dear Zehra...great to hear your words across the world..."
"calineaoun","2018-09-28 05:21:11","Salut toi, 
Naomi Koerner, 
Naomi Wiesenthal
Katy Kamkar
Google for  contacts"
"emma.six","2018-10-18 11:48:48","@suvankar is a registered psychotherapist based in TO. Highly recommendable. Check his website http://www.toronto-psychotherapist.net AND http://tmhn.ca/therapist/suvi-mohanty/"
