"username","created_at","comment_text"
"theartidote","2018-11-22 15:28:47","@nurizalya thank you for having the courage to share :) ❤️ what is the name of the hospital?"
"ques.era","2018-11-22 16:04:28","i've been seeing evelyn boon, a senior psychologist, at sgh's life centre clinic for almost 2 years now and she's really wonderful - she's supportive, funny, open-minded yet no-nonsense when the situation calls for it. the sessions with her have helped me a lot in terms of coming up with simple solutions for the day-to-day difficulties i face, even now."
"kroos07","2018-11-22 16:16:17","@helloimron"
"bloop.blob","2018-11-22 16:34:41","I really recommend:
- CHAT for free diagnoses & referrals to heavily subsidised counselling; although take note that a lot of young people go there so the waiting list and process might be long
- Eagles Mediation and Counselling Centre for couples therapy, mediation, their individual counselling is good too, plus they're very generous about reducing the cost of treatment depending on your financial situation
- Psycare Consultants; private clinic (hence pretty expensive rates per hour) with good psychotherapists like Tan Yih Sze (the one I saw). most of the psychotherapists in this clinic are trained in specific therapy types to deal with ptsd/trauma/related addictive disorders/backgrounds of abuse, and they often have multilingual patients of a range of ages and backgrounds (mandarin/dialect-speaking, children, etc)
all of the above are LGBTQ-friendly, if that's a concern to you!"
"bloop.blob","2018-11-22 16:44:49","tips for finding professional help:
1) the process is usually long and not easy, but don't be discouraged if the first few counselors or therapists aren't the right chemistry fit. you might find that talk therapy is not for you, or that you don't want to take medication, or that you need both. all of that is fine. eventually you will get to somewhere with resources to help you in some way if you keep looking
2) if you more or less know your condition/diagnosis, look up the clinical specialisations of the therapists in public hospitals and private clinics to facilitate finding a therapist who's trained in the right kinds of therapy to treat you. ask around friends, look in more unlikely places like university psych clinics which might have cheaper fees (James Cook Uni, NUS CPS), get reviews from others on therapists/counsellors
3) proactively ask for a free first trial session through email or whatnot if you have to pay for the kind of therapy you're going for, so that if the therapist is a Hard No (discriminatory, insensitive, stigmatizing), you at least won't be paying them for a session you're technically not getting any therapy in"
"bloop.blob","2018-11-22 16:46:15","if you're LGBTQ and looking for resources on how to deal with that, DM me and I can try my best to link you to resources or groups that can help you out!!"
"daisyannemitchell","2018-11-22 16:49:08","omg Thank you!!!! i Needed this"
"bloop.blob","2018-11-22 16:51:45","also, psycare clinic deals with much more than trauma therapy stuff!! that's just a bit more uncommon so I felt I needed to highlight it. if you have depression, anxiety, bipolar, etc you'd get sufficient help too. it's just pretty expensive so I'd recommend Eagles if you're looking for fees on a sliding scale that still provides quality therapy"
"rohit.2093","2018-11-22 17:24:39","@learningdifferently"
"salmonroll","2018-11-22 17:46:45","will you be doing indonesia?"
