"username","created_at","comment_text"
"celineinhues","2018-09-13 17:04:50","@tamiiiid"
"aashna_n","2018-09-13 17:20:10","This initiative of yours is so so beautiful ❤️"
"jana.khoury","2018-09-13 17:22:54","@christinacavalcanti ❤️"
"heartisgoldhandsarecold","2018-09-13 17:58:00","Joumana Haddad, AUBMC"
"theartidote","2018-09-13 17:59:09","Anonymous recommendation: “I am from Lebanon and I recommend Dr Fadi Maalouf as a psychiatrist and Dr Layla Akoury Dirany as a psychologist. Both of them work at AUBMC. Earlier this year I was diagnosed with schizoaffective disorder and they're helping me a lot with the medication and the psychotherapy.”"
"theartidote","2018-09-13 18:01:38","Anonymous recommendation:
“Dr Rana Jaroudi ‭03 231 600‬
In Beirut 
She’s the 5th Psy I went to and the only one I made amazing progress with 
Some of the sessions were EMDR when working on traumas 
And she makes you feel comfortable since the first session 
She’s very understanding with the payments as well and available whenever you call her.”"
"zeinakamareddine","2018-09-13 18:42:30","1) Fatima Al-Jamil in Hamra, Beirut (psychodynamic approach) 2) Carla Shehfe in Bellevue Medical Center, Mansouriyeh (CBT and schema therapy) 3) Dania Dandashli, Hamra, Beirut 4) Alaa Hijazi, Hamra, Beirut. All are amazing."
"janafahda","2018-09-13 20:15:41","Dr Madeleine Taha Badaro, clinic in Badaro, a pédopsychiatre. Alsoz De Ghina Ismail, clinic in AUH, a psychologist. DM for more info."
"nadinefares","2018-09-13 21:27:43","Dr. Fadi Maalouf (psychiatrist), and Dr. Joumana Ammar (psychotherapist). Both are at AUBMC, dm for more info 💛"
"frezzelpretzel","2018-09-14 03:17:24","I recommend @kisnaaz"
"christinacavalcanti","2018-09-14 06:00:12","@jana.khoury habibi 💗"
"tarhinisahar","2018-09-14 06:42:29","@janafahda Dr. Ghina saved my life 💗"
"janafahda","2018-09-14 06:45:56","@sueforshort Same here, she's beyond amazing❤️"
"tarhinisahar","2018-09-14 06:59:05","Hello people across Lebanon! If you ever feel in danger, call 1564, our new suicide prevention helpline. They can also help in leading you to the nearest mental health services in your area. I personally recommend Dr. Ghina Ismail, a psychotherapist in AUBMC. She is excellent. I also recommend Mia Atwi, a psychotherapist who used to work in AUBMC but now opened her own clinic, please refer to AUBMC to get her contact info. You can always DM me if you do not know how to start or where to go. 💕"
"__y_f","2018-09-14 08:49:43","@dima.wav"
"_diala_osman","2018-09-14 10:03:49","I highly recommand Nawal Hallal . Adress: Beirut; Ghobiery ; middle east bldg. Phone :+961 3 041690:
drhallal@hotmail.com"
"mahfoud.vicky","2018-09-14 12:15:05","Nabil Matraji 00961 3 635 103 (psychologist) one of the best"
"ellazplanet","2018-09-14 20:40:51","@anitapapas"
"dunya.16j","2018-09-14 21:43:02","@hadeelalayoubi"
"sabahayashh","2018-09-14 22:10:45","Marwan Gharzeddine, this is his clinic's phone number: +961 1 735 755"
"nisrine_k","2018-09-15 05:09:22","Clara Abou Nassar 03727205"
"nisrine_k","2018-09-15 05:10:04","03115469 Rita Nader"
"nisrine_k","2018-09-15 05:10:47","Eliane Ibrahim +9613399030"
"nisrine_k","2018-09-15 05:11:36","Lina Kayyal Vert 03 892 854"
"cynthia.ek","2018-09-15 08:08:10","Hayat Fakhouri ‭+961 3 069 937‬ @feltconnection"
"mireillee_hammall","2018-09-15 10:46:08","@francoisefreifer Thank you for the recommendation :) xx"
"mireillee_hammall","2018-09-15 10:47:08","Rodrigue Hammal @I_am_Rodrigue a great Thetahealer"
"mireillee_hammall","2018-09-15 10:51:56","Marie Ange Nohra +96171232371 Caline Azar +9613958010"
"wadashh","2018-09-15 12:55:23","💛"
"halaawada","2018-09-15 17:42:20","Kevork Wannissian: ‭
71152083‬

I trained alongside Kevork Wannissian and so I know his capabilities in helping clients. I would recommend him to even those closest to me. 
If you’re looking for a knowledgable, ethical and liscenced psychologist in a central clinic in Beirut, Kevork is the one."
"samkutsu","2018-09-15 18:24:11","@abouakl  she changed my life..."
"theartidote","2018-09-22 07:22:19","Submitted recommendation: “Dr. Marwan Khoury, psychotherapist, 03971228, he saved my life literally”"
"theartidote","2018-09-22 07:24:47","Submitted recommendation: “hello im from beirut ! i would recommend Dr.Paula Harika , Kaslik , 03/821002 ! I went to three psychologists and Dr Paula is the best of all ❤️ I was almost diagnosed with Bipolar , gladly with a repetitive sessions and a few medications I’m now way better ! It all started suddenly and I couldn’t help myself ! It all started because the Serotonin in my brain wasn’t functioning properly and often gave me mood swings on a daily basis in between minutes ! Thankfully I found Dr Paula who certainly helped me a lot!”"
"theartidote","2018-09-23 06:05:09","Submitted recommendation: “Psychotherapist Ali Attar / 009613928397 /
I first visited him after I had a severe panic attack that kept haunting me. It's been a year now, and I forgot when was the last time I had a fit of panic. 
It has been a great journey, and I am still working with him to achieve all the things I want from myself in life.”"
"sofievara","2018-10-05 02:12:05","@linafattal bare sånn itilfelle"
"linafattal","2018-10-05 05:58:23","@sofievara ❤️❤️❤️❤️"
"reemmrouehh","2018-10-08 22:30:14","@embrace_lebanon"
"caiakaram","2018-10-12 13:51:31","@christellenader @ghiwa99"
